% Model,verification_2d_nozzle_tapered.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 8 2021, 14:24"
% Dimension,2
% Nodes,13231
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% R,Z,mef.Jphi (A/m^2) @ freq=2E6
2.5E-4,0.00252,-1.4392478433888746E7-1.1090044667741254E7i
2.6000000000000003E-4,0.00252,-1.4960345836823994E7-1.1250842088104766E7i
2.7E-4,0.00252,-1.5505182402509388E7-1.1447468986137968E7i
2.8000000000000003E-4,0.00252,-1.6037837780806731E7-1.1671451174999485E7i
2.9E-4,0.00252,-1.6561729171109943E7-1.1919089119571399E7i
3.0000000000000003E-4,0.00252,-1.7078203540970873E7-1.2188992838377094E7i
3.1E-4,0.00252,-1.759292403913439E7-1.2474633040651403E7i
3.2E-4,0.00252,-1.8106254916448973E7-1.2775178237349631E7i
3.3E-4,0.00252,-1.8619487339725938E7-1.3088823766400943E7i
3.4E-4,0.00252,-1.91352183590872E7-1.3411437493571557E7i
3.5000000000000005E-4,0.00252,-1.9653437340084393E7-1.3742869918779833E7i
3.6E-4,0.00252,-2.0174982959222373E7-1.4081649772519013E7i
3.7E-4,0.00252,-2.070137961753208E7-1.4425288129461491E7i
3.8E-4,0.00252,-2.1232629055054083E7-1.4773773206212135E7i
3.9000000000000005E-4,0.00252,-2.1769248596718647E7-1.5126295274922399E7i
4.0E-4,0.00252,-2.2312770368525453E7-1.5481500532733709E7i
4.1E-4,0.00252,-2.286327602077238E7-1.5839426060039986E7i
4.2E-4,0.00252,-2.3421054356510423E7-1.6199812100701252E7i
4.3000000000000004E-4,0.00252,-2.3988220564597465E7-1.6562493934456432E7i
4.4000000000000007E-4,0.00252,-2.4565135816193353E7-1.6927666344321784E7i
4.5E-4,0.00252,-2.51518302347072E7-1.729526799995185E7i
4.6E-4,0.00252,-2.575096311206627E7-1.766648090445031E7i
4.7000000000000004E-4,0.00252,-2.6363853837564934E7-1.8042374557958852E7i
4.8000000000000007E-4,0.00252,-2.699047987472616E7-1.8423017483013622E7i
4.9E-4,0.00252,-2.7632592293559868E7-1.880960961223959E7i
5.0E-4,0.00252,-2.82938964365949E7-1.920657049642366E7i
5.1E-4,0.00252,-2.8974444181545395E7-1.9614157618074592E7i
5.200000000000001E-4,0.00252,-2.96745673891067E7-2.0032445800892346E7i
5.300000000000001E-4,0.00252,-3.0399124063638616E7-2.046947912950389E7i
5.4E-4,0.00252,-3.1149555259904873E7-2.0929029039602056E7i
5.5E-4,0.00252,-3.1925791942856245E7-2.1411198824260466E7i
5.600000000000001E-4,0.00252,-3.2729914241746247E7-2.1919230251223445E7i
5.700000000000001E-4,0.00252,-3.356564740957643E7-2.246992139064412E7i
5.8E-4,0.00252,-3.443291885939297E7-2.3065064296876725E7i
5.9E-4,0.00252,-3.53316362028601E7-2.370475342045157E7i
6.000000000000001E-4,0.00252,-3.626474200161765E7-2.4401838090729907E7i
6.100000000000001E-4,0.00252,-3.722868764415385E7-2.5181157696285233E7i
6.2E-4,0.00252,-3.822337403783429E7-2.604278236164553E7i
6.3E-4,0.00252,-3.924989010383061E7-2.6986217134888712E7i
6.4E-4,0.00252,-4.030156320919622E7-2.8044782354811557E7i
6.500000000000001E-4,0.00252,-4.1363646638230704E7-2.924733087197706E7i
6.6E-4,0.00252,-4.243611036601359E7-3.05938756835426E7i
6.7E-4,0.00252,-4.352203210566244E7-3.2085366554939587E7i
6.8E-4,0.00252,-4.458160980635484E7-3.378417938091757E7i
6.900000000000001E-4,0.00252,-4.5582531761998415E7-3.57218093011485E7i
7.0E-4,0.00252,-4.6525018329478756E7-3.789820355111201E7i
7.1E-4,0.00252,-4.74117265424952E7-4.0322569077053644E7i
7.2E-4,0.00252,-4.809811018771961E7-4.310527725433886E7i
7.300000000000001E-4,0.00252,-4.853437756627354E7-4.627364707854028E7i
7.4E-4,0.00252,-4.872179650510607E7-4.982733351736975E7i
7.5E-4,0.00252,-4.848136802639789E7-5.3870206281199604E7i
7.6E-4,0.00252,-4.7782927480195254E7-5.840089602733738E7i
7.700000000000001E-4,0.00252,-4.647093858723856E7-6.348053871445002E7i
7.8E-4,0.00252,4.5953941387758115E-4-2.992321821233245E-4i
7.9E-4,0.00252,4.947076281959721E-4-2.893951952750866E-4i
8.0E-4,0.00252,5.293264094526913E-4-2.8020327900877195E-4i
8.100000000000001E-4,0.00252,5.633486345838624E-4-2.717576849261601E-4i
8.2E-4,0.00252,5.968464171969533E-4-2.637813741657711E-4i
8.3E-4,0.00252,6.29732796420959E-4-2.5633064269420675E-4i
